"Activity Name","Process Output"
"Base framing erection","Guard Shack Base"
"Subfloor installation","Guard Shack Base"
"Wall framing erection","Guard Shack Wall"
"Sliding barrier and installation","Guard Shack Wall"
"Window fitting","Guard Shack Wall"
"Interior hardware installation","Guard Shack Wall"
"Wall insulation","Guard Shack Wall"
"Interior painting","Guard Shack Wall"
"Exterior painting","Guard Shack Wall"
"Roof framing erection","Guard Shack Roof"
"Roof vapor barrier and tile installation","Guard Shack Roof"
"Roofing insulation","Guard Shack Roof"
"Building power installation","Guard Shack Electrical"
"Lighting installation","Guard Shack Electrical"
"Low voltage electrical installation","Guard Shack Electrical"
"Solar panel system install","Guard Shack Electrical"
"Backup power system test","Guard Shack Electrical"
